Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,LastUpdated
Malta,30319,12.0,416.0,1.0,29642,20.0,261,,940.0,871099.0,1968487.0,442522.0,2021-05-02 17:42:00+00:00
Maldives,30237,,73.0,,24934,,5230,90.0,133.0,729127.0,1329485.0,548428.0,2021-05-02 17:42:00+00:00
DRC,29965,61.0,768.0,,26250,,2947,,8.0,149736.0,1631.0,91804946.0,2021-05-02 17:42:00+00:00
Australia,29826,14.0,910.0,,28655,38.0,261,1.0,35.0,16907151.0,656705.0,25745436.0,2021-05-02 17:42:00+00:00
Angola,26815,,600.0,,23913,,2302,10.0,18.0,498853.0,14799.0,33708433.0,2021-05-02 17:42:00+00:00
Rwanda,25225,,335.0,,23345,,1545,2.0,25.0,1316968.0,99639.0,13217357.0,2021-05-02 17:42:00+00:00
Cabo Verde,24127,,220.0,,20711,,3196,23.0,392.0,152873.0,272501.0,561000.0,2021-05-02 17:42:00+00:00
Gabon,23075,,139.0,,19629,,3307,19.0,61.0,731109.0,322199.0,2269124.0,2021-05-02 17:42:00+00:00
Syria,22818,,1598.0,,16992,,4228,,90.0,103566.0,5801.0,17851800.0,2021-05-02 17:42:00+00:00
Guinea,22304,57.0,145.0,1.0,19776,91.0,2383,24.0,11.0,434198.0,32338.0,13426693.0,2021-05-02 17:42:00+00:00
R�union,20381,,148.0,,18659,,1574,36.0,164.0,101244.0,112416.0,900623.0,2021-05-02 17:42:00+00:00
Mayotte,20094,,170.0,,2964,,16960,3.0,611.0,171277.0,615546.0,278252.0,2021-05-02 17:42:00+00:00
French Guiana,19543,,101.0,,9995,,9447,20.0,331.0,216365.0,709226.0,305072.0,2021-05-02 17:42:00+00:00
French Polynesia,18758,,141.0,,18597,,20,3.0,500.0,26355.0,93372.0,282258.0,2021-05-02 17:42:00+00:00
Eswatini,18458,,671.0,,17748,,39,3.0,573.0,187111.0,159905.0,1170138.0,2021-05-02 17:42:00+00:00
Mauritania,18429,,455.0,,17707,,267,14.0,96.0,234909.0,49449.0,4750525.0,2021-05-02 17:42:00+00:00
Guadeloupe,14555,,198.0,,2242,,12115,18.0,495.0,180000.0,449796.0,400181.0,2021-05-02 17:42:00+00:00
